No.;Time;Comment;Scramble;Date;P.1
694;13.51;;D' U' R2 D' F2 D2 R2 F2 D2 L D U2 B R D2 F L' U' R;2026-06-26 19:01:37;13.51
695;11.93;;U2 D' R' D2 B' D R F' B2 D2 F2 R' U2 R F2 R B2 R D2 R' D';2026-06-26 19:02:25;11.93
696;14.82;;B2 L2 F2 U2 F2 R2 D' U2 R2 D B2 U2 R U2 B' D2 U' F L2 U;2026-06-26 19:02:56;14.82
697;16.68;;L2 U' L2 B2 F2 D2 R2 D R2 U F D' B' U R F' D R2 F' R';2026-06-27 16:34:30;16.68
698;14.35;;F2 R2 B2 U2 B2 L' F2 U2 R' F2 U2 L D' L B2 D L' D U F D;2026-06-27 16:35:03;14.35
699;14.46;;F2 D' L2 B2 U' B2 F2 U L2 F2 R F D' B' D' L U' B U2 F';2026-06-27 16:35:31;14.46
700;13.09;;F D' R F2 U2 R D2 F2 U2 L2 B2 R B2 R' D' B L F L' D2 R2;2026-06-27 16:35:57;13.09
701;12.67;;R2 U L2 D L2 U' R2 F2 D B2 F2 U B' U2 R U2 F2 U' B' L D2;2026-06-27 16:36:21;12.67
702;15.85;;B2 R' B' D2 B' R2 F2 U2 R2 U2 B U2 L2 B R' B' D R2 U2 B' F';2026-06-27 16:36:47;15.85
703;11.53;;D U R2 D L2 U2 R2 U L2 R2 U' R' U L' R2 F D2 U' L D' B;2026-06-27 16:37:25;11.53
704;13.68;;D' F B2 D2 L B2 U2 B2 U2 R2 U2 R B2 U R2 D B2 L2 B' U;2026-06-27 16:37:52;13.68
705;12.83;;F2 D L B' D R U2 R2 U2 R2 U L2 B2 U F2 D B2 D B' R';2026-06-27 16:38:23;12.83
706;13.39;;U' B2 L2 D2 U R2 U R2 F2 U' B F R' B' D' U' L D R F';2026-06-27 16:38:47;13.39
707;16.18;;L F' L' U2 B2 U2 F2 L U2 L' R2 D2 L2 F' U F2 L' D L F';2026-06-27 16:39:17;16.18
708;15.29;;R2 F B2 U F2 D B D2 B2 D L2 D2 R2 F2 D' F2 L2 D F2 R';2026-06-27 16:39:48;15.29
709;12.69;;D' B2 L2 R2 D' B2 U F2 U F2 L2 U2 R' U' R D L2 F' R2 U2;2026-06-27 16:40:17;12.69
710;11.87;;D F2 L2 B' U F' R F U2 L2 F' B2 D2 R2 F' L2 D2 L2 R' D';2026-06-27 16:40:41;11.87
711;15.00;;F B2 D F2 D2 U B2 D2 L2 U' L2 U' L B2 U' R2 D2 R2 B D';2026-06-27 16:41:06;15.00
712;13.39;;R' F' R L2 F2 D2 L2 B2 U' B2 D F2 L2 U2 B L U2 R' B2 R U2;2026-06-27 16:41:32;13.39
713;11.43;;U' R' B L' D B' D' F2 R' B' D2 L2 B' L2 B D2 F L2 B';2026-06-27 16:41:59;11.43
714;10.82;;B' D2 L2 B D2 F R2 F L2 D B' R B2 D2 B' R' F' D2 F';2026-06-27 16:42:23;10.82
715;12.02;;B R2 F L2 F2 D F2 U' L2 D F2 D2 F2 L' B R' D B2 R2 U;2026-06-27 16:42:46;12.02
716;12.32;;U2 B D2 R2 B2 L2 R' F2 R F2 D2 F2 D2 B L' D U2 L D B';2026-06-27 16:43:21;12.32
717;11.87;;B' F2 L2 D2 B' U2 F R2 D2 F' U2 R2 D L B2 F L R2 B' R';2026-06-27 16:43:45;11.87
718;16.44;;D L U2 L' B2 L2 F2 D2 U2 R B2 L' D B D2 L' U R' D F2;2026-06-27 16:44:15;16.44
719;17.62;;D L2 R2 D L2 B2 L2 U B2 D' L2 B' R U' L' U2 B' U R B' D;2026-06-27 16:44:42;17.62
720;13.67;;U2 F2 D' F2 L2 B2 U' F2 D' B2 F2 U' F U2 F D U L' F U' B';2026-06-27 16:45:12;13.67
721;12.20;;F2 L2 F2 D' B2 L2 F2 D2 R2 F2 D2 U' R' B' D' U' R B' D2 L' B;2026-06-27 16:45:37;12.20
722;12.23;;F2 L2 R2 U2 R2 D' L2 F2 D2 U' F2 D L F R D' L' D2 R D' F2;2026-06-27 16:46:42;12.23
723;16.54;;L' D2 F U' F' U B L2 D2 B2 L' F2 R' U2 B2 U2 R' F2 R;2026-06-27 16:47:09;16.54
724;16.42;;L' F L U F2 L' F D' B' R F2 L D2 L' F2 L2 D2 R D2;2026-06-27 16:47:38;16.42
725;11.91;;D2 L2 R2 U F2 R2 U B2 L2 D R2 U B' R' B R B' U' R B2 U2;2026-06-27 16:48:15;11.91
726;12.44;;B' R U2 B U F2 B2 R F' U2 L F2 R D2 R L2 B2 D2 L U2;2026-06-27 16:48:38;12.44
727;15.10;;F' R F2 L2 B' L2 F L2 D2 L2 F' D2 U2 F' L' U' F U2 R D L2;2026-06-27 16:49:07;15.10
728;13.61;;L' D' L D2 B' U2 F' U2 R2 U2 B' D2 F R' F2 U F2 D2 B' R';2026-06-27 16:49:34;13.61
729;14.21;;D B2 F2 U R2 F2 D' U F2 U R2 U' R' U B2 R' B' L2 B2 L' D2;2026-06-27 16:50:54;14.21
730;13.83;;D2 B' L2 R2 B' R2 F' R2 D2 B2 R2 U' F L R D F' U L' R2 F;2026-06-27 16:51:20;13.83
731;12.32;;B R2 B' R' B' L2 D R F' U L F2 B2 D2 R2 B2 U2 L' D2 L' F2;2026-06-27 16:51:45;12.32
732;9.78;;D' U2 F2 R' B2 D2 R' B2 L U2 R2 B2 R2 F' D L2 B U' R U L';2026-06-27 16:53:02;9.78
733;14.54;;B U F L2 U2 L2 U2 B D2 F2 L2 B F' L2 R' B U B' D L2 R;2026-06-27 16:53:39;14.54
734;12.66;;F2 R' D B U' L B U2 R' D2 B U2 B L2 F2 L2 B2;2026-06-27 16:54:05;12.66
735;11.31;;F U2 D' L D' F2 D F R L2 F2 U' R2 U' R2 U F2 B2;2026-06-27 16:54:28;11.31
736;13.91;;L' B' U R' D2 L2 D F' L2 U2 B' D2 F L2 B2 L2 D' R2;2026-06-27 16:54:50;13.91
737;9.83;;U2 R2 B' U2 F2 U' B2 L2 D R2 U2 L2 D F2 L' B' U F U2 R' D2;2026-06-27 16:55:20;9.83
738;16.20;;U F' R2 U' B2 F2 D2 L2 D' L2 F2 U F' U2 F L' F' R' D B;2026-06-27 17:00:36;16.20
739;14.05;;L2 U L2 U R2 U B2 D2 U' R2 U2 B R2 F' L U' B F2 R' D R2;2026-06-27 17:01:07;14.05
740;13.15;;L U' R' U2 L B2 U2 L D2 R' D2 U2 F2 D F' D L2 D' L';2026-06-27 17:02:15;13.15
741;12.16;;F' B' R2 D2 R' B2 D L2 B' U2 F' L2 U2 F' D2 L2 F' U2 B2 R' B2;2026-06-27 17:02:40;12.16
742;14.55;;F' L B2 L2 U' L2 U2 L2 B2 R2 B2 F2 U B' L' D' B2 R2 F2 L F2;2026-06-27 17:03:05;14.55
743;13.19;;U F2 L' D2 R' U2 L' B2 U2 L' D2 F2 B' U2 L2 B U' B' D B';2026-06-27 17:03:44;13.19
744;14.97;;B2 L F2 U2 F2 U2 L' F2 L F2 L' D' U' R' F D L2 D B U;2026-06-27 17:04:07;14.97
745;13.09;;U B' F2 R2 U B2 D' F2 D' F2 U R2 D F' U' B F2 U' L' F' D;2026-06-27 17:04:37;13.09
746;14.52;;F2 D B' L2 B R2 F2 U2 F D2 F R2 F' R2 U R F' D' B U L';2026-06-27 17:05:02;14.52
747;14.72;;U2 R2 B' U2 R2 F2 U2 B L2 F' L2 U B' D2 B D' L F' D' R B;2026-06-27 17:05:30;14.72
748;13.22;;F B' R' U' B2 L' F' R' U' F2 B2 D' L2 U B2 D2 R2 L2 U L2;2026-06-27 17:05:55;13.22
749;16.60;;R L B2 L B D2 R2 L' F2 D' B2 U' R2 D2 F2 D' L2 U B2 R2 F';2026-06-27 17:06:45;16.60
750;11.97;;B U2 F2 R' D2 L2 R' B2 L F2 D2 L2 F U B2 R' U' B2 U';2026-06-27 17:07:14;11.97
751;13.93;;L' F L B2 U2 R' B2 F2 R' F2 R2 B2 R2 B' D2 F L2 D' L' B';2026-06-27 17:07:38;13.93
752;13.56;;R B2 L B2 R2 F2 L B2 U2 L B' D' L D2 B' L F2 L R;2026-06-27 17:08:02;13.56
753;12.69;;R2 B2 L2 D2 U2 B U2 F2 U2 L2 F D' B2 L D' B' R' B L' R2;2026-06-27 17:08:30;12.69
754;15.68;;F2 U B2 D2 U' R2 B2 D2 R2 L B' R U L D B R2 F2 L2;2026-06-27 17:08:55;15.68
755;11.17;;U D R F R2 L B' D2 B2 R2 B2 U L2 U' L2 D B2 D B2 L' F';2026-06-27 17:09:21;11.17
756;13.53;;B L' F2 L2 F2 L2 U2 B2 D2 F D2 F2 D F' R2 D' F' L D U';2026-06-27 17:09:46;13.53
757;13.54;;R B2 D2 U2 F2 R D2 L2 F2 R F2 R2 F' U' B' R2 B2 L B F' U';2026-06-27 17:10:10;13.54
758;10.99;;B2 R' L2 F' D2 B F' D2 L2 F' L2 U2 F D' U' B L' R2 B2 R' B2;2026-06-27 17:11:21;10.99
759;14.16;;U2 B' L2 B' F' D2 F' L2 F U2 L2 U2 L U' F D' R' B F U L2;2026-06-27 17:11:47;14.16
760;14.96;;U2 D L B R2 U R' U' B2 D' B2 L2 U' F2 D2 L2 B2 R2;2026-06-27 17:12:15;14.96
761;15.54;;B2 L' D2 F2 L B2 U2 R2 U2 R B2 U2 B' U R2 U B' D2 L F2 L;2026-06-27 17:12:40;15.54
762;12.25;;L2 B' F' L2 U2 B L2 R2 D2 B' D' F' D2 U2 L R' D' L2 D2;2026-06-27 17:52:15;12.25
763;14.33;;F2 L2 F2 U B2 R2 D L2 B2 D' B2 D L' U R U2 R F' L' F' D2;2026-06-27 17:52:42;14.33
764;12.23;;R' U' B2 U' R2 D F2 D F2 U L2 F2 L2 B U2 F L R F' L2 R;2026-06-27 17:53:09;12.23
765;17.04;;U' F U2 L2 U2 B' R2 B' D2 F R2 F D2 L' D R' F' U' F2 U' B;2026-06-27 17:53:32;17.04
766;14.77;;U' R2 B R2 F D2 L2 B R2 D2 U2 R2 U' L F' D' L' F' U R2 B;2026-06-27 17:54:04;14.77
767;13.57;;L2 D B2 R2 B2 U' R2 D' R2 B2 F2 U F D' U2 B' L F2 R F' R';2026-06-27 18:47:15;13.57
768;12.73;;F U2 R' F2 D2 L' D2 F2 R' U2 R' F2 D U R2 B D2 R' B';2026-06-27 18:47:40;12.73
769;13.18;;F2 U2 R2 U2 F' L2 U2 B2 F' U2 L2 R U F2 U2 R' F' R' D F2;2026-06-27 18:48:03;13.18
770;14.44;;L' U' B2 U' F2 L2 U2 F2 D F2 B D' L2 F U' B' R U B';2026-06-27 18:48:27;14.44
771;11.51;;F' U' B F2 D' F2 D2 L2 F2 R2 U L2 D2 B' D' L2 B2 L' F D;2026-06-27 18:48:54;11.51
772;16.30;;R B2 U2 R2 D2 L R2 D2 R F2 R2 B' L' D' U' B' F D' F' U;2026-06-27 18:49:19;16.30
773;16.42;;D' R F2 B' R' F' L' D L2 D' R2 B2 U' B2 R2 D2 R' U2;2026-06-27 18:49:45;16.42
774;13.87;;D2 U2 R2 U2 B D2 F' L2 D2 F' U' R2 B L' F' L2 U L B' R';2026-06-27 18:50:15;13.87
775;8.88;;U L' B' D2 L U' F' R F2 B2 D2 L2 D L2 B2 U L2 U B2 L';2026-06-27 18:50:44;8.88
776;12.78;;D2 R' U B U2 F' U2 R2 D' F2 D2 R' D2 R2 F2 R D2 B2 U2 B2 R';2026-06-27 18:51:06;12.78
