No.;Time;Comment;Scramble;Date;P.1
840;11.60;;B' U' L2 B U2 F2 R2 F' L2 F' U2 R2 U L D' F2 D' F2 U';2026-06-27 21:01:34;11.60
841;10.61;;B' L U' B U2 D' R F2 U' F' D2 F D2 B' L2 F2 U2 B L2 U2 D2;2026-06-27 21:01:55;10.61
842;13.82;;F2 U' L' U2 R U2 B2 R' U2 L' U2 L2 U2 B' L' B U2 F D' U';2026-06-27 21:02:16;13.82
843;10.17;;F L2 D' U2 F2 U B2 U' F2 R2 U' R B' R' U2 B' L' B2 D';2026-06-27 21:03:32;10.17
844;12.06;;D' B2 L2 D L2 D2 B2 U' B2 R2 U2 B F L' B' R2 D B' U2 F';2026-06-27 21:03:53;12.06
845;11.80;;R2 D2 R2 F R2 B2 L2 B D2 U2 F' D' B D' L B' D2 L' D R' F;2026-06-27 21:04:16;11.80
846;13.16;;R2 B U2 L2 F' D2 F U2 B2 U2 R U' F L2 R U2 L' U' L D2;2026-06-27 21:06:35;13.16
847;12.07;;L2 B D2 L2 R2 B2 R2 B' D2 F2 R D' B' F2 D R D R D F2;2026-06-27 21:07:10;12.07
848;11.57;;B2 R2 U' L2 U2 B2 U F2 L2 R2 D B2 R' B F2 D' B' U2 B2 L' U;2026-06-27 21:07:35;11.57
849;12.27;;F' U' R' D2 U2 B D2 F' U2 B' U2 F L2 F2 D' B R' U' B F' U2;2026-06-27 21:08:00;12.27
850;15.95;;B2 D' F2 D2 L2 U' F2 D2 L2 U' R D2 L' B L2 F2 D' R D2 B';2026-06-27 21:08:26;15.95
851;12.02;;U F' L2 U B2 U R2 D' F2 U' L2 B2 R2 B D2 L' R2 D2 B2 D2;2026-06-27 21:38:23;12.02
852;14.72;;D' F2 D' B2 D' F2 U L2 U' F2 B' L' R' D' F L' R' U2 R D2;2026-06-27 21:38:47;14.72
853;11.98;;U' B' R2 L U2 F' U' B D2 R2 F2 U' L2 D' R2 D' R2 L2 D2 F2 R';2026-06-27 21:39:17;11.98
854;12.94;;U R U2 B2 L' B2 L' D2 R' B2 D2 L' F D R' D' L' D' L D;2026-06-27 21:39:44;12.94
855;16.99;;D L2 U2 F2 R F2 U2 L D2 F2 B D2 U' L B' F2 L2 U L2;2026-06-27 21:40:08;16.99
856;13.70;;L2 F2 R D2 L B2 F2 R F2 R' F2 R B' R' F2 U2 R U F L';2026-06-27 21:40:39;13.70
857;16.72;;F2 D2 F' U2 R2 F2 L2 R2 B' L F2 D' B F' D L2 D B' U;2026-06-27 21:41:05;16.72
858;14.01;;B' U' L2 U R2 D' F2 R2 U' R2 B2 F2 D2 L' B L2 U' R2 D' U' F';2026-06-28 11:38:23;14.01
859;15.74;;F2 L2 B2 L2 U2 B U2 F' U2 B D2 F2 U B F U' R' B2 D L2 U;2026-06-28 11:38:55;15.74
860;16.83;;B2 U2 F L F' B' R2 F' L B2 L2 U F2 R2 B2 R2 U' D' R2;2026-06-28 11:39:36;16.83
861;11.51;;R2 U2 L' U2 F2 L U2 L2 F2 L' B' L2 B U L B U2 F';2026-06-28 11:40:05;11.51
862;10.38;;U L' D R2 D' R2 B2 U2 L2 U' F2 L2 D F' L' F U B' U' F2 R';2026-06-28 11:40:28;10.38
863;15.24;;U B2 U2 R2 B2 L2 U' R2 D2 L2 R2 U' F' L' D2 R U R2 B2 F' U';2026-06-28 11:40:52;15.24
864;14.69;;L' U F' L' F2 B' L D2 R2 L2 B2 L2 B' L2 F U2 F' L2 D B2;2026-06-28 11:41:50;14.69
865;10.73;;D2 U2 L2 D F2 D B2 D F2 U' F2 B U' F' U L B L' R' F';2026-06-28 11:42:17;10.73
866;16.92;;F2 D2 F2 L2 D2 R2 F2 D' U' L B' U L' B2 L U2 F' L2;2026-06-28 12:49:50;16.92
867;10.75;;B R' F L U2 R B U R' U' B2 D2 F2 L2 B2 D' L2 D R2;2026-06-28 12:50:18;10.75
868;13.41;;L2 U2 L2 B2 U' F2 D2 F2 R2 B2 U F R' D' L' B2 L2 U' F2;2026-06-28 12:50:40;13.41
869;16.39;;B2 U' L2 U' L2 D F2 U' R2 F2 L2 D R' F L2 B2 U' R2 B R2 D';2026-06-28 12:51:04;16.39
870;12.59;;U L' D2 B2 U2 F R2 F' R2 D2 F2 L2 F' L F' R2 B U' L' R';2026-06-28 12:51:32;12.59
871;13.14;;U2 R2 F' D2 B2 L2 F' U2 R2 B' R2 U' B' L U B2 U2 B F2 U2;2026-06-28 12:52:00;13.14
872;14.52;;D L U' F2 L F' R' L2 U' R2 D2 F2 U2 R' F2 R2 D2 F2 R B2;2026-06-28 12:52:29;14.52
873;13.80;;R2 D2 B2 L2 B D2 F L2 B' R2 U' R' U' L' U F D' R' U2;2026-06-28 12:52:54;13.80
874;17.29;;R B U' R2 D2 B2 R2 F2 U R2 D2 B2 U B2 R' B2 D2 U' R U2 B;2026-06-28 12:53:19;17.29
875;15.56;;B2 L F2 B R U2 L2 D R D' F2 B2 U F2 U' R2 B2 D2 F2 L2;2026-06-28 12:53:48;15.56
876;15.34;;U' R' F2 R2 D2 F2 U2 R' B2 D2 L' R2 D2 F' R F2 D L' D B' L;2026-06-28 12:54:17;15.34
877;15.42;;B' R2 D F2 U2 L2 F2 D L2 D' B2 D' L B' R B L' R' F' U;2026-06-28 13:06:02;15.42
878;19.18;;B' D2 R' L2 F' B' D2 B' U R2 F2 L U2 R U2 F2 B2 L' F2 L;2026-06-28 13:06:32;19.18
879;12.63;;D L2 D2 U2 B2 R2 B R2 F U2 B' R2 L' F U' R B L' R' F' U';2026-06-28 13:07:48;12.63
880;14.35;;D' B R2 F2 L2 U2 F2 U2 B2 R B2 R B2 L2 U' F R' U2 R D2 B;2026-06-28 13:08:28;14.35
881;13.64;;R2 D R2 D' B2 F2 D' U F2 L' U' B' D L2 R B' D' U' R';2026-06-28 13:10:05;13.64
882;13.62;;U L2 D L' D' F U R2 B U B2 R2 F2 U' R2 D' R2 D2 R2 B2;2026-06-28 13:10:46;13.62
883;16.79;;L2 B2 U' F2 U2 B2 R2 U B2 F2 L' B' D' B' F' L R B' U' B;2026-06-28 13:11:12;16.79
884;12.79;;L' F L2 D2 L2 B2 U2 F2 L' B2 R2 D2 F2 R' F' U L2 D' R F2 U;2026-06-28 13:11:43;12.79
885;14.26;;R B2 D L2 U L2 F2 R2 F2 U' B2 D2 L' F L2 D U' B D U2 F;2026-06-28 13:12:06;14.26
886;13.06;;F' L F2 R2 F2 L2 D' F2 D U' L2 U' R2 B' L' B' F' L2 R B L';2026-06-28 13:12:39;13.06
887;14.99;;U D' B' L F' R F2 L U' L F2 U' L2 U' R2 L2 F2 U' F2 L2 B2;2026-06-28 13:13:10;14.99
888;11.44;;B2 R D2 B2 D2 U2 R2 U2 L R2 B2 L F' U L2 D' B' D2 F2 U L;2026-06-28 13:13:38;11.44
889;19.30;;D L2 B U D F R' U' R2 B2 U F2 B2 U R2 D B2 D F R;2026-06-28 13:14:00;19.30
890;11.97;;D2 R2 U2 L2 U2 F' L2 D2 B2 U2 F2 D L U2 L2 B' U' R' D;2026-06-28 13:15:00;11.97
891;18.69;;B2 U B2 D2 F2 R2 U2 R' F2 L' B2 U2 R D2 B D B2 F D' R F;2026-06-28 14:05:46;18.69
892;14.27;;L D' L D2 R' B2 L' U2 R' B2 R2 F2 R D2 F U2 F2 L2 D2 R' F;2026-06-28 14:06:18;14.27
893;12.65;;B' D' L' D2 U2 R' B2 U2 L D2 L2 D2 U2 B2 F R' U B' L' U2 F';2026-06-28 14:06:44;12.65
894;12.86;;B2 D B2 U2 R2 U F2 D2 B2 U' F2 L R' U R U' B R U2;2026-06-28 14:07:11;12.86
895;14.09;;F2 D' L2 U' F2 D L2 F2 D' B2 D2 R D' R2 B2 L B F L U B';2026-06-28 14:07:36;14.09
896;13.61;;F R F L2 B' L2 R2 B R2 B' L2 D2 B2 R F' R2 U F2 U F2;2026-06-28 14:09:13;13.61
897;14.73;;R' F2 U2 F2 U' R2 U B2 U F2 U' R2 U L F D R' B' L' U2 F2;2026-06-28 14:09:39;14.73
898;13.30;;R2 F' U' R' B2 U2 B2 L' F L2 U2 R2 U2 F2 R' U2 R2 U2 F2;2026-06-28 14:10:04;13.30
899;15.31;;F2 D2 L2 U2 R2 D' B2 F2 D' B2 L F2 U' B U2 L2 B2 R' U B;2026-06-28 14:10:37;15.31
900;13.86;;B2 D2 F2 L2 B2 D B2 L2 U' B2 F' L B2 U2 B' R2 F' L' U' F2;2026-06-28 14:11:04;13.86
901;12.27;;R D L' U2 R L' B' R2 U F2 D2 R2 L2 U L2 U' D' B U2;2026-06-28 14:11:36;12.27
902;12.00;;R D L2 B2 D2 L2 U' B2 U' L2 F2 U2 F L F R' B F2 U L' U2;2026-06-28 14:12:00;12.00
903;11.63;;U B2 U2 F2 L2 R2 U' F2 D' L2 D' L D' B2 D2 L2 D L' R' B;2026-06-28 14:12:29;11.63
904;11.35;;B' L D2 B2 R B2 L U2 L2 D2 R' D R2 F' L2 R' D2 F' L;2026-06-28 14:12:52;11.35
905;12.86;;L2 U R2 D F2 D' B2 F2 R2 U' F2 D B L D' L' U' B U F R;2026-06-28 14:13:18;12.86
906;13.59;;U' L2 U' R2 B2 F2 U2 R2 F2 U L2 F' L' U' R B' D U2 R D' B2;2026-06-28 14:13:44;13.59
907;15.12;;D' B U2 B2 R2 F' D2 L2 R2 F' R2 F' D2 U' L R2 F R' D' F' L2;2026-06-28 14:14:10;15.12
908;13.22;;F' D R U' F2 B' D' B R2 D2 R B2 L B2 L' D2 F2 R' B2 L';2026-06-28 14:14:36;13.22
909;12.97;;D B D2 B2 F2 R U2 R2 U2 L2 U2 B2 D2 B' R F' L2 D L2 U;2026-06-28 14:15:01;12.97
910;11.86;;U' F2 R2 D2 U' L2 D' L2 U' F2 B' D R2 U' F2 L' F' R D2 B';2026-06-28 14:15:25;11.86
911;13.43;;B2 D2 R' U' D R2 B' R' F2 U2 R2 L' F2 U2 L2 B2 U2 L D2 B R2;2026-06-28 14:15:49;13.43
912;15.72;;F2 R' B2 D2 U' L2 F2 L2 B2 D2 F2 U' L D2 R B F' L2 D';2026-06-28 14:16:13;15.72
913;14.20;;B D' R B U L B2 D2 F U R2 U F2 U B2 D' F2 D' F2 U2;2026-06-28 14:16:42;14.20
914;12.66;;B2 F2 L2 D' R2 U2 L2 R2 U R2 F2 D2 R' D B' U B U L B R;2026-06-28 14:17:11;12.66
915;11.30;;U D2 L2 D' R' L2 D' R2 F' U R2 U2 R2 U' B2 R2 B2 U D;2026-06-28 14:17:35;11.30
916;14.60;;F2 L2 D2 L2 U2 B F2 R2 F2 D2 R2 L' B' F2 U' L' F D L2 U';2026-06-28 14:18:04;14.60
917;13.90;;D' B2 U2 L2 D' U L2 B2 L' U B F D L U' F' R2 U2;2026-06-28 14:18:30;13.90
918;14.89;;F2 L2 B' D2 L2 R2 F U2 F' D2 B' L2 R' B' U F' R B U2 R2 U;2026-06-28 14:19:03;14.89
919;16.27;;B L2 B2 L2 U B2 U2 B2 L2 D' F2 L2 F R U' F R' U2 F2 U;2026-06-28 14:19:35;16.27
920;11.70;;U F' R2 B D B U' F2 R U L2 U' R2 U' B2 L2 D2 R2 L2 D';2026-06-28 14:21:54;11.70
921;8.32;;D' L' F R' D' B2 D L B2 R' F2 B2 D2 R D2 L' U2 R2 B' U2;2026-06-28 14:22:16;8.32
922;16.34;;L2 U2 F2 R2 D L2 B2 U R2 U2 L' U2 F2 L D' L' B' U L';2026-06-28 14:22:43;16.34
923;14.14;;R U R' U B' R D' R2 F2 L2 F U2 D2 L2 U2 F B2 U2 R' F2;2026-06-28 14:23:12;14.14
924;14.67;;U' F' D2 B D2 R2 F' L2 R2 U2 R2 F L B' F D' L' F R' F2;2026-06-28 14:23:47;14.67
925;13.52;;D F2 L2 B2 F2 U F2 R2 U L2 F2 L' F R D L2 R' U' L D B';2026-06-28 14:24:23;13.52
926;9.35;;R L2 F2 L2 F' L2 F' U2 B' L2 F' R2 U B D' R2 F' L' B' D2 F2;2026-06-28 14:25:49;9.35
927;13.10;;B' R2 F2 D L2 B2 D L2 R2 U2 R2 F L2 R D' B L2 R2 F';2026-06-28 14:26:16;13.10
928;15.69;;D2 B U2 F L2 F R2 F R2 U2 F U B2 D2 L' R' B' U F2 U F';2026-06-28 14:26:43;15.69
929;14.25;;R2 U' L2 U R2 D U B2 R2 D' R2 B R' B' L D B F' L2 R F2;2026-06-28 14:27:11;14.25
930;13.58;;F B2 U' R2 F2 D B2 L2 B2 R2 U' B2 F L2 U' L D' F D' L;2026-06-28 14:27:51;13.58
931;13.23;;B' L' F' D2 R2 F U2 R2 F2 U2 B' U2 L2 B2 R' B R2 F' U' B2 D2;2026-06-28 14:28:16;13.23
932;13.50;;L F2 U D R' U B2 R B' F2 U' D' L2 B2 D' B2 D F2 L2 D;2026-06-28 14:28:43;13.50
933;13.62;;B2 R B2 D2 U2 L' D2 R B' L' U F D F U L U' F';2026-06-28 14:29:12;13.62
934;12.67;;L' D B2 U2 B2 D2 L' R2 B2 F2 U2 L' F2 R2 B' U' R2 U L' D' B2;2026-06-28 14:29:40;12.67
935;13.31;;R2 L2 D R2 L F' D R F' R2 L2 F U2 F R2 U2 B2 U2 F2;2026-06-28 14:30:03;13.31
936;10.75;;L2 U2 L2 F2 D' B2 D' L2 B2 D2 F2 D' B' D' L2 U' L B F' L2 R';2026-06-28 14:30:28;10.75
937;13.80;;U R B2 R2 U2 L2 B' L2 F D2 B' F L' U' B2 F' R D B L;2026-06-28 14:30:58;13.80
938;10.72;;R D B' F2 U' B2 U L2 U' B2 D2 B2 F' U' B2 R2 U' L D;2026-06-28 14:31:27;10.72
939;13.12;;L2 B U F' R' L D2 B L2 U' R2 U' L2 U F2 U D2 F2 B2 L2 R';2026-06-28 14:33:01;13.12
940;13.74;;F2 D2 F' R2 B2 L2 R2 D2 U2 F' R' B' R' D' U2 R' F L F';2026-06-28 14:34:50;13.74
941;13.49;;U F2 U F2 R2 D U R2 U' L' B2 D F2 R B' U' L2 U';2026-06-28 14:35:17;13.49
942;13.56;;F D L' U2 B2 R2 B' R2 D2 F2 D2 F' D2 R2 U L' D2 F U2 F2 L;2026-06-28 14:35:41;13.56
943;12.07;;U B D2 L' D' R F' U2 L U2 F2 R2 D2 B2 D L2 D2 F2 D';2026-06-28 14:36:11;12.07
944;13.52;;D B2 L2 U2 F U2 B' D2 L2 R2 F2 L2 F' L B2 F D R' F2 R';2026-06-28 14:36:36;13.52
945;14.65;;B' D F2 B' D2 L U F D R B2 R F2 R2 F2 L' U2 R' F2 U2 L';2026-06-28 14:37:04;14.65
946;13.46;;R2 D L F' U' F B' U2 F' R2 U2 L2 D B2 D2 F2 D L2 B2;2026-06-28 14:37:34;13.46
947;11.64;;F U' R2 D2 B' L2 B2 F' R2 B' R2 U2 B R D B2 L' U' B' L';2026-06-28 14:38:00;11.64
948;15.50;;U B2 L2 U L2 U' L2 B2 D2 F2 D2 B R U' B2 D2 R F U2 L' U';2026-06-28 14:38:26;15.50
949;15.34;;U R' U2 R2 D2 B' F2 R2 B D2 B D2 B2 D R B' D2 U L D2;2026-06-28 14:38:56;15.34
950;14.38;;B U2 L2 U' L2 D' F2 L2 B2 U' B' L' D' L2 U2 L D R;2026-06-28 14:39:23;14.38
951;15.07;;B' D U2 R2 U2 R2 B2 L2 F L2 D2 B' R2 D B' D' L U' L2 U' L;2026-06-28 14:39:53;15.07
952;16.90;;L D2 U2 L U2 B2 R' U2 B2 L2 B2 F2 D U2 L D' F R' F2 R';2026-06-28 14:40:19;16.90
953;14.75;;D2 L2 D2 B R2 D2 B U2 F R2 U2 F2 L' U F' U2 F R' B U;2026-06-28 14:41:03;14.75
954;13.99;;L' F U2 R2 U B2 U R2 F2 D' R2 D2 L' F2 L2 F' D U' L' U2;2026-06-28 14:41:30;13.99
955;18.12;;F' L' F2 D2 U2 L2 B2 L' B2 R' D2 B2 R' D' F' D2 R D B R F;2026-06-28 14:41:59;18.12
956;14.69;;L' B2 L2 R2 D' L2 R2 U R2 D' R2 D' L U' F2 R D2 L F D';2026-06-28 14:42:30;14.69
957;15.47;;R B2 U' F U' B2 L F' D' R2 F L2 D2 B' U2 F D2 R2 F R2 D2;2026-06-28 14:43:01;15.47
958;13.67;;R2 F2 U' L2 B2 D U B2 D L2 U' F' U' R D' F2 R B2 R' U;2026-06-28 14:43:28;13.67
959;10.07;;F2 D' U2 B2 U2 L2 F2 R2 F2 U B2 F' L2 F L' R2 D2 U' F2 L' D';2026-06-28 14:44:38;10.07
960;17.17;;F2 L2 D2 B L2 B' L2 U2 F R D L D' B2 F' D R2 B R2;2026-06-28 14:45:04;17.17
961;16.00;;R2 B' U2 F L2 D2 U2 F L2 D2 B2 R2 L F2 R' B' D' U' L' D L;2026-06-28 14:46:03;16.00
962;12.79;;B2 D' B2 L2 D' B2 R2 U R2 D' U' R D2 B R U L B2 L2 F' R2;2026-06-28 14:47:42;12.79
963;13.65;;D' F2 U L2 D' B2 D' F2 U' B2 F2 U' R B2 L U B U' F2 L2 F;2026-06-28 14:48:37;13.65
964;11.29;;F2 L D' F2 L2 D' L2 U' L2 B2 L2 U F2 B' U F' L2 U2 R F2;2026-06-28 14:49:02;11.29
965;12.65;;D' U2 F' U2 B D2 L2 B D2 F2 U2 F R' U' L D' L D L2 B2;2026-06-28 14:49:25;12.65
966;12.70;;L D2 B' R2 F R2 U' R2 D2 R2 L' D2 L2 F2 L2 F' U;2026-06-28 14:49:47;12.70
967;12.66;;U R2 B' R B D L D2 B U2 L2 F2 B2 L' F2 R2 L F2 U2 F2 U2;2026-06-28 14:50:30;12.66
968;10.32;;D' L D' F2 R' L' F L F2 L2 U' F2 D2 F2 R2 D2 R2 U' F2 D B;2026-06-28 14:50:54;10.32
969;11.84;;U2 F2 U' L2 U2 F2 U' F2 U2 F2 L2 B' L' B2 L2 F' U B' L;2026-06-28 14:51:22;11.84
970;12.61;;B U2 R2 U2 B2 F' D2 F D2 L2 R' U2 F L D2 U' L' F2 D' R;2026-06-28 14:51:45;12.61
971;15.97;;L' D' F2 R2 D' B R' L D U2 R2 F2 D2 F L2 B' R2 L2 B2 R2 L2;2026-06-28 14:52:10;15.97
972;14.90;;B2 U R2 D B' U R B' U' R2 F2 U2 F2 B2 R' D2 B2 R F2 R;2026-06-28 14:52:38;14.90
973;17.07;;B2 D2 B2 R2 D' F2 L2 D' R2 F2 U2 L' F' U' B2 F2 U' L2 D' U';2026-06-28 14:53:08;17.07
974;16.98;;R' F2 B2 L2 F D L U' D2 R2 D2 F D2 F L2 F' R2 B R2 L2;2026-06-28 14:53:35;16.98
975;14.04;;R D' B' U' B' L U2 L F U' D L2 F2 U F2 B2 D2 F2 U' F2 R2;2026-06-28 14:54:11;14.04
976;15.21;;D' B2 R2 F2 U2 B2 R2 U F2 L2 U' L2 F' D L2 F D R2 D2 L D';2026-06-28 14:54:38;15.21
977;11.08;;U2 B2 R2 U' F2 L2 U R2 U L2 U2 R2 B' U2 R U' R' D B' R2;2026-06-28 14:55:04;11.08
978;14.00;;D F L F2 D2 L2 U2 L U2 R D2 B2 L F2 D' R2 B' L R' F R';2026-06-28 14:55:25;14.00
979;11.45;;D' L2 F2 D' U2 B2 R2 D B2 R2 F' U' F' L' F' U' B' L2 D' L2;2026-06-28 14:55:53;11.45
980;14.21;;U R2 F R2 D' U L2 B2 U2 B2 U' F2 U' R U2 F L2 U2 R2 F';2026-06-28 14:56:18;14.21
981;11.32;;R F' D F2 D L2 B2 L2 F2 D L2 U' F2 L D U' F U2 B' F2;2026-06-28 14:56:44;11.32
982;16.38;;D2 F' R' D' R2 D2 U' R2 B2 R2 B2 D' U2 B' R B' F L' F' L;2026-06-28 15:15:20;16.38
983;15.80;;F2 U' D' R' F L2 U' F2 R B' D2 B U2 B L2 B' D2 B R2 F' R2;2026-06-28 15:15:54;15.80
984;17.40;;F' L D2 F2 L' U2 B2 D2 F2 L2 D2 R2 U2 B D' U2 L' U' B2 R U';2026-06-28 15:16:24;17.40
985;16.40;;L' B2 R F2 R B2 L2 D2 L' D2 R' F U B' R F' L2 U2 L2 D;2026-06-28 15:16:53;16.40
986;15.90;;U R2 U L2 F2 U R2 U' F2 L2 F2 R D2 B U' B F2 R D' U2 R';2026-06-28 15:17:20;15.90
987;13.34;;F U' D' F U2 D2 R' D F2 U' R2 D R2 L2 D2 F2 L2 R D;2026-06-28 15:18:50;13.34
988;16.46;;R2 F' D' B2 L2 D' R2 U2 B2 L2 B2 D' R2 L B2 F U B L' R B2;2026-06-28 15:19:22;16.46
989;15.68;;F R2 U' D' B' R' U R2 D2 B2 L F2 L' U2 R U2 D2 R' F' U';2026-06-28 15:19:49;15.68
990;16.17;;B2 D2 L2 U B2 R' L U B R2 U' R2 D L2 F2 R2 F2 U' R2 L2 D;2026-06-28 15:20:18;16.17
991;14.31;;L F2 L' D2 F2 D2 F2 R' F2 R' U' L2 F2 R B L D' L2 D;2026-06-28 15:20:46;14.31
992;11.53;;L F' R2 U' R F2 D' F2 R' D2 F2 D2 B' L2 F' R2 U2 B2 L2 U2 F;2026-06-28 15:21:12;11.53
993;11.32;;B2 R U R2 D' F2 U2 R2 D' L2 R2 F2 U R2 F' R B R' D' F2 U2;2026-06-28 15:21:40;11.32
994;12.28;;L F U' B2 U F2 D' R2 D F2 R2 U R' B L' B U R2 B U2;2026-06-28 15:22:06;12.28
995;13.73;;B2 L2 B2 D U2 B2 L2 D' F2 L2 F2 B' R' D' L' U B D2 U2 F' L;2026-06-28 15:22:30;13.73
996;12.57;;U' B2 R F2 U2 L D2 L' B2 R' U2 B2 U' F D' R' D' B D' L B2;2026-06-28 15:22:54;12.57
997;13.50;;L B L2 F R2 D2 R2 B2 L2 B' D2 B U' R U2 B' F2 D' L' B;2026-06-28 15:23:17;13.50
998;14.28;;F U L2 D' B2 U' L2 B2 R2 U F2 L2 D' F L B' R F' L F' L';2026-06-28 15:24:04;14.28
999;12.87;;R' D2 F2 R2 F2 R' F2 R2 D2 U2 R' U L R2 B2 F' D F' L';2026-06-28 15:24:29;12.87
1000;11.33;;D' R2 B D2 F2 R2 D' R2 B2 F2 R2 F2 D F' L' R2 F' R' D';2026-06-28 15:25:07;11.33
1001;10.53;;L F L2 F' B' R' B' L' U' R2 D B2 R2 D B2 D B2 R2 L2 U2 L';2026-06-28 15:25:29;10.53
1002;12.30;;F U' B D' R' U F2 B' U' R L' U2 L' U2 F2 R' B2 L' D2 R;2026-06-28 15:25:59;12.30
1003;16.28;;F' D2 B' L2 F D2 F D2 F2 L2 R2 F U' R F2 D' R2 D' L' F2 R';2026-06-28 15:26:26;16.28
1004;13.72;;R2 D F B R' U' B' L B' D2 F2 D L2 F2 R2 B2 U2 F2 U' B2;2026-06-28 15:26:56;13.72
1005;15.05;;B L' B' R2 F' B R' F U' R2 U2 L2 F' R2 B' D2 F2 U2 D2;2026-06-28 15:27:21;15.05
1006;13.46;;B' U' L2 U B2 D L2 D' U R2 B2 F' D2 R' B R2 B L' U R;2026-06-28 15:28:34;13.46
1007;12.01;;F2 R2 L D L2 B' U L U B2 D2 R B2 L' F2 U2 L' D2;2026-06-28 15:29:03;12.01
1008;12.19;;D2 F L2 B D2 F2 R2 D2 B L2 B' L2 D F R' U L2 U' B2 D2 U;2026-06-28 15:29:27;12.19
1009;11.35;;D2 L' B2 R F2 U2 B2 D2 L' F2 L R' F' D' B L' R' F' D L U;2026-06-28 15:30:03;11.35
1010;15.77;;D' B' U2 R2 F' U2 B F R2 U2 F2 U2 R' B L U F D' U2 R' D2;2026-06-28 15:30:29;15.77
1011;8.06;;D2 L2 F' U2 B D2 F D2 F2 D2 B' U B' L' D B D2 L' D;2026-06-28 15:31:55;8.06
1012;12.28;;B2 L2 D' R2 F2 U2 L2 U' L2 B' L2 D B' U' B' R' D2 R2;2026-06-28 15:32:21;12.28
1013;12.14;;B2 U2 B' D2 F' L2 F L2 R2 U2 L2 F2 R B R' U R' U2 R' B';2026-06-28 15:32:44;12.14
1014;14.16;;B2 U2 D R F' D2 B R L2 U' F2 R2 L2 D L2 F2 L2 B2 L;2026-06-28 15:33:07;14.16
1015;14.94;;D U2 L2 D2 F2 D F2 L2 B2 F2 U' F' L U2 R B' D U R D2 F';2026-06-28 15:33:35;14.94
1016;14.85;;U' F2 D2 U' R2 D' L2 F2 U R U L2 B D' B' L U' F' U2;2026-06-28 15:34:01;14.85
1017;12.59;;R2 F' U2 R2 B' U2 F' D2 B R2 B' L B R' U L2 F' L' D L B2;2026-06-28 15:34:35;12.59
1018;16.10;;D2 L2 F' R2 D2 F' D2 L2 B' U2 R2 B D' L' F' D2 U' L' R2 U' B';2026-06-28 15:35:43;16.10
1019;16.24;;L2 B2 L' U D L U' F' D2 F2 L B2 D2 F2 D2 L U2 B2 U';2026-06-28 15:37:22;16.24
1020;11.56;;U2 F2 U' F2 B D' F R D L2 F2 L2 U' R2 U' L2 U' L2 D2 L;2026-06-28 15:37:49;11.56
1021;14.64;;U F' R' D2 U L2 R2 U' R2 B2 R2 F2 U2 R2 B' R D2 U' B R D';2026-06-28 15:38:11;14.64
1022;14.93;;D L U2 R2 D' F' R U D2 B' D2 B' U2 F D2 F D2 B2 D2 R';2026-06-28 15:45:23;14.93
1023;13.28;;L2 U2 L' B2 R2 U R2 U F2 R2 D2 F2 D' L2 F U' B F U2 L' U2;2026-06-28 15:45:48;13.28
1024;11.38;;B R2 D2 R2 U2 R2 B2 F' R2 B2 D R U' L U' L B D U' B;2026-06-28 15:46:13;11.38
1025;16.50;;D' B' R2 D2 F2 U B2 U' F2 D2 B2 U B' L D R2 B F R;2026-06-28 15:47:36;16.50
1026;13.58;;D2 R2 B D2 U2 R2 D2 F' R2 F R2 D L' R D2 B' D2 R2 U F';2026-06-28 15:48:04;13.58
1027;13.93;;L B2 D2 R' D2 R' F2 U2 B2 F2 L R2 B' D' F' D' B2 L' D' L R2;2026-06-28 15:48:31;13.93
1028;14.08;;U2 B2 L B2 R F2 R2 U2 R' B2 F2 D2 B D' U R' U F D L2;2026-06-28 15:48:55;14.08
1029;16.05;;R2 F2 U2 R B2 D2 L U2 R F2 D2 L2 U' L' D U' F2 L U' B U;2026-06-28 15:49:22;16.05
1030;12.12;;D' F2 R' U2 F2 D2 L2 B2 F' L2 B' U2 R' D R D' U' B L2;2026-06-28 15:49:48;12.12
1031;11.23;;D' B L U2 F' D' B' F2 L F2 D2 B2 U2 R2 L' F2 L U2 D;2026-06-28 15:50:10;11.23
1032;13.64;;L2 F L2 F2 U' B2 R2 D' R2 D' B2 L R B' R F R B D';2026-06-28 15:50:32;13.64
1033;12.33;;D2 L R2 B2 L' D2 U2 B2 D2 R2 F2 R F L B' L' F2 R2 U' R B';2026-06-28 15:50:59;12.33
1034;12.64;;U2 R2 B2 R2 F' R2 F2 D2 B2 R2 D' L R D L2 D B F U L2;2026-06-28 15:51:22;12.64
1035;12.84;;U F U D' F2 U2 R' D' B U2 L2 F2 L B2 L U2 R' D2 L F2;2026-06-28 15:51:45;12.84
1036;11.20;;R2 U2 B2 R2 U R2 D' L2 R2 F2 U' B D B' L D U R' D' F;2026-06-28 15:54:54;11.20
1037;16.67;;D2 B2 D R2 B2 F2 D' B2 L2 U2 F' U' B D2 R F' U L B' R';2026-06-28 15:55:15;16.67
1038;14.36;;B2 U2 F L2 R2 F D2 U2 F U B' R' D2 F L2 B L' B F2;2026-06-28 15:55:42;14.36
1039;16.37;;B2 D2 R2 F2 D F2 L2 D B2 R2 D' L2 F' U' R2 B' U L' B D' R2;2026-06-28 15:56:10;16.37
1040;17.01;;U B2 L2 U2 F2 L2 U' R2 D' L2 U' R' D2 L2 D2 B' D F2 L' F2 R2;2026-06-28 15:56:37;17.01
